Text,Time,Pic
"郴电国际
竞价压的6个万手
和板上爆的4个万手是哪里来的
格局一会就得水下割肉
真痛苦",2024-05-30 09:54:00,No_Pic
"都说5穷6绝7翻身
这感觉还没6呢
已经绝了",2024-05-29 14:03:00,./news_pic/3697768583_20240529140300_image.jpg
"炒股好难
",2024-05-27 19:00:00,./news_pic/3697768583_20240527190000_image.jpg
"910c，电磁屏蔽，刚学了一周末
就被老师们收割了
我决定了我也要做产业链
先买好仓位
安排小弟们群发和吹票
发动题材
收割跑路
而不是去接盘",2024-05-27 11:37:00,No_Pic
"星期五 4.26炒证券
星期一 4.29炒房地产
星期二 4.30炒合成生物
星期一 5.6炒化工
星期二 5.7炒商业航天
星期三 5.8炒干细胞
星期四 5.9锂电池
星期五 5.10电力
星期一 5.13出海
星期二 5.14大乱斗
星期三 5.15房地产
星期四 5.16房地产
星期五 5.17玻璃基板 房地产
星期一 5.20大乱斗
星期二 5.21大乱斗
星期三 5.22房地产回流又分歧 光伏
星期四 5.23电磁屏蔽罩
星期五 5.24电力 华为910c
打不过量化，我投降",2024-05-24 13:24:00,
把龙头我爱我家卖了追了一堆后排，我真是土鳖,2024-05-22 11:37:00,
"痛苦，地天后第二天接着核
和当时厦门信达一模一样
这样以后谁还反核啊
难怪现在都是a杀",2024-05-22 09:38:00,
"没看懂这些核查散户论坛发言封账户的操作
吹牛真的违法……",2024-05-21 23:47:00,
"最近的创业板又有被量化统治的样子
雷曼光电，瑞迪智驱都是令人夸张的弹性",2024-05-21 11:28:00,
旅游还可以，长白山都2板了，果然有预期差，可惜没参与,2024-05-21 10:04:00,
"搞不懂啊，雪球组合，竞价下的单，25分前按照啥价格结算，25到30又按照啥
本意是跌停买南京，竞价买我爱我家，一看都成交在最高点？",2024-05-21 09:35:00,
"晚上好
我依然坚守雪球 未曾离开
没有去约会 没有开房
北京时间：5月20 23:49分
为雪球站岗 为清纯打卡",2024-05-20 23:49:00,
"很久没用过组合了，问大家一个问题，比如我爱我家这种实际能买到的一字板，我调仓过去，组合能买到吗
组合怎么鉴别1字板的呀，另外组合调仓是实时跟随实盘市场数据吗",2024-05-20 10:23:00,
"没想到周末吹成这样的地产也就这样
万幸的是滨江还可以
希望能走成地产的万丰",2024-05-20 09:57:00,
"我创建了一个雪球组合: , 欢迎关注哦!",2024-05-19 23:48:00,
"周末复盘问大家一个问题
为啥现在有效的地天少了很多
最近尝试翘的几个
厦门信达
兴业股份
等等，都是亏的",2024-05-19 15:47:00,
"地产人地产魂
没有地产股
周末天天哭？",2024-05-17 17:59:00,
看好地产但是天地源这名字不敢买早上犹豫了好久，痛苦，又是踏空的一天，现在买啥,2024-05-16 10:15:00,
"又是亏完的一天
兄弟们周末愉快
下周见",2024-05-10 15:06:00,
"毛特了，开盘买了一堆锂电，然后瞄了眼连板，看到兴业在跌停，有锂电概念，就跟着翘了一笔，盘中以为悟道了，收盘泪两行
现在反核已经不流行了，南国置业收盘也没肉
老的套路果然不行了
当下的连板逃脱不了不一字就死的命运",2024-05-09 15:42:00,
机构这两天疯狂洗脑的锂电新能源困境反转来真的？,2024-05-09 10:19:00,
"假期学了合成生物
昨天学了商用航空
今天学习细胞治疗
感觉可以去读博了",2024-05-08 12:36:00,
"追高没有好下场
昨天高潮的一个肉都没有
轮动市场就是这样
该来的分歧总会来
继续在手里的折腾做t了
闪崩的铜揽没买到急杀可惜
别再顶一字了
天天一字上一字下的",2024-05-08 11:43:00,
"往往特停第二天高潮，第三天就分歧
现在第二天基本也都撑不住了
市场的轮动和一致性太强了",2024-05-07 10:56:00,
"我橙汉三回来啦
想我了没",2024-05-05 22:17:00,
"悟道了
",2024-03-07 15:02:00,
佛山老师也有大亏的时候，2亿国脉文化亏了4000万走了,2024-03-01 09:54:00,
"昨天套住，今天踏空
新战法之半路
前天卫星
今天半导体氢能源和消费电子
看样子大家都对新题材很热情
指数反包是超预期了，本来以为的买点在周五
还是人心思涨
不会真的是牛市多急跌吧
那周末要加钱了",2024-02-29 14:57:00,
"掩护撤退有点恶心了哦……
拉中字头和券商
实际都在放量出货",2024-02-28 14:05:00,
听到的是量化和部分机构放开了,2024-02-28 11:27:00,
"今天市场放量的好奇怪……
有啥能买的吗，也看不到啊
20厘米打板已经有日内炸十几个点的了",2024-02-28 10:50:00,
"中位已经套人了，高位还会远吗
本来打算分歧参与加仓的
现在分歧也不敢买了
安心等新题材或者调整20个点再说吧",2024-02-26 14:10:00,
"这个行情别人都不羡慕
就羡慕通道党
和做20厘米的朋友

什么时候才能给哥们分歧买入的机会啊",2024-02-26 10:16:00,
听说你们都赚肿了，有人给我发个红包嘛，一脸懵逼,2024-02-21 15:27:00,
